ndc,count,drug,gsn
51079007320.0,23275.0,Furosemide,008209
487980125.0,37029.0,Ipratropium Bromide Neb,021700
51079007220.0,35597.0,Furosemide,008208
245004101.0,76460.0,Potassium Chloride,001275
0.0,2518625.0,Sodium Chloride 0.9%  Flush,
6022761.0,1577.0,Raltegravir,063231
63739054410.0,7368.0,Spironolactone,006817
904198861.0,103619.0,Acetaminophen,004490
19515089452.0,13963.0,Influenza Vaccine Quadrivalent,072514
173068224.0,21994.0,Albuterol Inhaler,028090
61958070101.0,3405.0,Emtricitabine-Tenofovir (Truvada),057883
63323026201.0,316791.0,Heparin,006549
135019502.0,4908.0,Nicotine Patch,016426
65649030303.0,9956.0,Rifaximin,066295
54812025.0,2544.0,Calcium Carbonate,001340
67467064301.0,14874.0,Albumin 25% (12.5g / 50mL),006329
597007575.0,16793.0,Tiotropium Bromide,050714
121457735.0,12982.0,Lactulose,068217
904272561.0,16835.0,Sulfameth/Trimethoprim DS,009396
61553008348.0,47062.0,Calcium Gluconate,063951
46287000660.0,8731.0,Sodium Polystyrene Sulfonate,001195
60505260400.0,24725.0,Zolpidem Tartrate,019187
173071920.0,16924.0,Fluticasone Propionate 110mcg,021251
57664037708.0,7031.0,TraMADOL (Ultram),023139
904399061.0,45195.0,TraZODone,046241
2821501.0,92657.0,Insulin (Regular) for Hyperkalemia,001723
409490234.0,135598.0,Dextrose 50%,001989
409189001.0,38453.0,Morphine Sulfate,070023
66553000401.0,84493.0,Calcium Carbonate,002689
574705050.0,99619.0,Bisacodyl,002944
536338101.0,64671.0,Bisacodyl,002947
904516561.0,172054.0,Senna,019964
121054410.0,42702.0,Docusate Sodium (Liquid),003017
49502069724.0,58081.0,Albuterol 0.083% Neb Soln,005039
42543070590.0,397.0,Pramipexole,031782
60687019001.0,1291.0,Pravastatin,020741
78050215.0,84.0,rivastigmine,062871
904652261.0,115749.0,Senna,019964
904663861.0,11211.0,QUEtiapine Fumarate,034187
54162000708.0,33020.0,Senna,002922
68382019616.0,141.0,Pramipexole,031781
68546014256.0,213.0,Rasagiline,060915
11523726808.0,65003.0,Polyethylene Glycol,034313
338350841.0,14202.0,CeFAZolin,075120
10432017002.0,27553.0,Vitamin D,019166
43825010201.0,82165.0,Acetaminophen IV,066887
904053061.0,70109.0,Multivitamins,002532
536135501.0,2730.0,Bisacodyl,002944
121197100.0,22440.0,Acetaminophen,065758
338004904.0,384236.0,Sodium Chloride 0.9%,001210
63824072283.0,8589.0,Cepacol (Sore Throat Lozenge),067735
121483940.0,10463.0,OxyCODONE (Immediate Release),004224
338011704.0,292265.0,Lactated Ringers,001187
70860077602.0,12076.0,Ondansetron,061716
641612525.0,14085.0,Morphine Sulfate,074851
703854023.0,10080.0,Enoxaparin Sodium,039482
68084035401.0,25712.0,OxyCODONE (Immediate Release),004225
904645561.0,49276.0,Docusate Sodium,003009
19515090941.0,13579.0,Influenza Vaccine Quadrivalent,078262
406055262.0,198167.0,OxycoDONE (Immediate Release) ,004225
182844789.0,57883.0,Acetaminophen,004489
904150061.0,14250.0,Lorazepam,003757
703450204.0,18605.0,Metoclopramide,005229
781305714.0,81800.0,Ondansetron,061716
641092825.0,9967.0,Promethazine,003870
74233411.0,14293.0,HYDROmorphone (Dilaudid),004101
338067104.0,42169.0,Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,002003
63323016101.0,14171.0,Ketorolac,039499
904224461.0,219619.0,Docusate Sodium,003009
121176130.0,27524.0,Aluminum-Magnesium Hydrox.-Simethicone,002701
10019055302.0,5464.0,Scopolamine Patch,004704
338012504.0,10993.0,D5LR,002026
17714002001.0,7014.0,DiphenhydrAMINE,011582
406035762.0,8586.0,Hydrocodone-Acetaminophen,004204
904150161.0,6672.0,Lorazepam,003758
6473900.0,33421.0,PNEUMOcoccal 23-valent polysaccharide vaccine,048548
55390000401.0,88273.0,Glucagon,041660
49999006600.0,423.0,Triamterene-HCTZ (37.5/25),021718
51079000220.0,121084.0,Acetaminophen,004489
182864389.0,25636.0,Simethicone,002821
904568461.0,34225.0,Omeprazole,033530
