icd_code,count,long_title
5491,6549,Percutaneous abdominal drainage
8938,10519,Other nonoperative respiratory measurements
0QS734Z,103,"Reposition Left Upper Femur with Internal Fixation Device, Percutaneous Approach"
5551,315,Nephroureterectomy
3734,1482,"Excision or destruction of other lesion or tissue of heart, endovascular approach"
3728,356,Intracardiac echocardiography
3727,1221,Cardiac mapping
3893,14644,"Venous catheterization, not elsewhere classified"
4524,619,Flexible sigmoidoscopy
7569,4947,Repair of other current obstetric laceration
5011,1031,Closed (percutaneous) [needle] biopsy of liver
4562,784,Other partial resection of small intestine
5459,1992,Other lysis of peritoneal adhesions
0FB23ZX,125,"Excision of Left Lobe Liver, Percutaneous Approach, Diagnostic"
4513,5785,Other endoscopy of small intestine
0066,5392,Percutaneous transluminal coronary angioplasty [PTCA]
3607,3696,Insertion of drug-eluting coronary artery stent(s)
0045,4412,Insertion of one vascular stent
0041,1805,Procedure on two vessels
3722,6119,Left heart cardiac catheterization
8856,9549,Coronary arteriography using two catheters
0044,450,Procedure on vessel bifurcation
0207,24,Removal of skull plate
8674,464,Attachment of pedicle or flap graft to other sites
8669,575,Other skin graft to other sites
8672,44,Advancement of pedicle graft
0139,142,Other incision of brain
0331,4528,Spinal tap
3897,10347,Central venous catheter placement with guidance
7359,2211,Other manually assisted delivery
4576,408,Open and other sigmoidectomy
4525,1837,Closed [endoscopic] biopsy of large intestine
0T9330Z,115,"Drainage of Right Kidney Pelvis with Drainage Device, Percutaneous Approach"
0T763DZ,31,"Dilation of Right Ureter with Intraluminal Device, Percutaneous Approach"
0TTB4ZZ,103,"Resection of Bladder, Percutaneous Endoscopic Approach"
07BC4ZX,113,"Excision of Pelvis Lymphatic, Percutaneous Endoscopic Approach, Diagnostic"
0UT9FZZ,71,"Resection of Uterus, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance"
0UTC7ZZ,53,"Resection of Cervix, Via Natural or Artificial Opening"
0UT2FZZ,47,"Resection of Bilateral Ovaries, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance"
0UBG4ZZ,19,"Excision of Vagina, Percutaneous Endoscopic Approach"
0T1807C,19,"Bypass Bilateral Ureters to Ileocutaneous with Autologous Tissue Substitute, Open Approach"
8E0W4CZ,1379,"Robotic Assisted Procedure of Trunk Region, Percutaneous Endoscopic Approach"
02HV33Z,14353,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach"
3E0436Z,2158,"Introduction of Nutritional Substance into Central Vein, Percutaneous Approach"
0W9J30Z,497,"Drainage of Pelvic Cavity with Drainage Device, Percutaneous Approach"
0T948ZX,4,"Drainage of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0TB68ZX,10,"Excision of Right Ureter, Via Natural or Artificial Opening Endoscopic, Diagnostic"
0T783DZ,13,"Dilation of Bilateral Ureters with Intraluminal Device, Percutaneous Approach"
0D9W3ZX,4,"Drainage of Peritoneum, Percutaneous Approach, Diagnostic"
0DWW30Z,3,"Revision of Drainage Device in Peritoneum, Percutaneous Approach"
0D9W30Z,45,"Drainage of Peritoneum with Drainage Device, Percutaneous Approach"
BT14YZZ,22,"Fluoroscopy of Kidneys, Ureters and Bladder using Other Contrast"
0TB73ZX,1,"Excision of Left Ureter, Percutaneous Approach, Diagnostic"
0TB63ZX,3,"Excision of Right Ureter, Percutaneous Approach, Diagnostic"
0T25X0Z,579,"Change Drainage Device in Kidney, External Approach"
BT13YZZ,37,Fluoroscopy of Bilateral Kidneys using Other Contrast
734,2827,Medical induction of labor
8853,1316,Angiocardiography of left heart structures
8855,1159,Coronary arteriography using a single catheter
8696,46,Insertion or replacement of other neurostimulator pulse generator
7055,17,Repair of rectocele with graft or prosthesis
7094,44,Insertion of biological graft
027034Z,1604,"Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach"
B211YZZ,4684,Fluoroscopy of Multiple Coronary Arteries using Other Contrast
4A023N7,2248,"Measurement of Cardiac Sampling and Pressure, Left Heart, Percutaneous Approach"
5A1945Z,4762,"Respiratory Ventilation, 24-96 Consecutive Hours"
5A1955Z,4414,"Respiratory Ventilation, Greater than 96 Consecutive Hours"
0BH17EZ,6197,"Insertion of Endotracheal Airway into Trachea, Via Natural or Artificial Opening"
5A1223Z,699,"Performance of Cardiac Pacing, Continuous"
5A12012,943,"Performance of Cardiac Output, Single, Manual"
02HK3JZ,1298,"Insertion of Pacemaker Lead into Right Ventricle, Percutaneous Approach"
3E0G76Z,8700,"Introduction of Nutritional Substance into Upper GI, Via Natural or Artificial Opening"
0DJ08ZZ,5736,"Inspection of Upper Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
3950,3240,Angioplasty of other non-coronary vessel(s)
0055,81,Insertion of drug-eluting stent(s) of other peripheral vessel(s)
0046,1840,Insertion of two vascular stents
0040,7581,Procedure on single vessel
0DBW4ZX,49,"Excision of Peritoneum, Percutaneous Endoscopic Approach, Diagnostic"
0T9B80Z,73,"Drainage of Bladder with Drainage Device, Via Natural or Artificial Opening Endoscopic"
0DJ68ZZ,135,"Inspection of Stomach, Via Natural or Artificial Opening Endoscopic"
0JBR0ZZ,383,"Excision of Left Foot Subcutaneous Tissue and Fascia, Open Approach"
B212YZZ,127,Fluoroscopy of Single Coronary Artery Bypass Graft using Other Contrast
B218YZZ,381,Fluoroscopy of Left Internal Mammary Bypass Graft using Other Contrast
3615,3080,Single internal mammary-coronary artery bypass
3612,1171,(Aorto)coronary bypass of two coronary arteries
0Y6Q0Z0,43,"Detachment at Left 1st Toe, Complete, Open Approach"
0QBR0ZZ,83,"Excision of Left Toe Phalanx, Open Approach"
047M3DZ,40,"Dilation of Right Popliteal Artery with Intraluminal Device, Percutaneous Approach"
047P3ZZ,125,"Dilation of Right Anterior Tibial Artery, Percutaneous Approach"
B41F1ZZ,183,Fluoroscopy of Right Lower Extremity Arteries using Low Osmolar Contrast
05HY33Z,284,"Insertion of Infusion Device into Upper Vein, Percutaneous Approach"
047N3Z1,13,"Dilation of Left Popliteal Artery using Drug-Coated Balloon, Percutaneous Approach"
0QBM3ZX,8,"Excision of Left Tarsal, Percutaneous Approach, Diagnostic"
0Y6H0Z2,76,"Detachment at Right Lower Leg, Mid, Open Approach"
8361,29,Suture of tendon sheath
0444,4,Release of tarsal tunnel
3491,2729,Thoracentesis
3606,1298,Insertion of non-drug-eluting coronary artery stent(s)
3723,2158,Combined right and left heart cardiac catheterization
9925,5320,Injection or infusion of cancer chemotherapeutic substance
9920,1428,Injection or infusion of platelet inhibitor
8914,140,Electroencephalogram
4495,382,Laparoscopic gastric restrictive procedure
5371,227,"Laparoscopic repair of diaphragmatic hernia, abdominal approach"
0SRD0J9,688,"Replacement of Left Knee Joint with Synthetic Substitute, Cemented, Open Approach"
3E0U33Z,175,"Introduction of Anti-inflammatory into Joints, Percutaneous Approach"
3E0U3BZ,95,"Introduction of Anesthetic Agent into Joints, Percutaneous Approach"
0HCU0ZZ,8,"Extirpation of Matter from Left Breast, Open Approach"
0H9U3ZZ,22,"Drainage of Left Breast, Percutaneous Approach"
0SRC0J9,767,"Replacement of Right Knee Joint with Synthetic Substitute, Cemented, Open Approach"
01NB0ZZ,1059,"Release Lumbar Nerve, Open Approach"
0SG0071,436,"Fusion of Lumbar Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach"
10D00Z1,3002,"Extraction of Products of Conception, Low, Open Approach"
