,0
drug_warfarin,-0.4328241226007805
drug_heparin,-0.31293756261661504
drug_docusate_sodium,-0.2375074908509034
admission_type_SURGICAL SAME DAY ADMISSION,-0.23572670782147387
vital_min_spo2,-0.235609008551966
vital_min_heart_rate,-0.23461786325419332
lab_albumin,-0.22776805709741993
procedure_5A1221Z,-0.18659908285862378
lab_eosinophils,-0.15022401227187374
drug_phosphorus,-0.14676463259174788
drug_amlodipine,-0.1411526661470286
drug_potassium_chl_20_meq_/_1000_ml_d5_1/2_ns,-0.1317102652595272
drug_quetiapine_fumarate,-0.12445262785611222
drug_magnesium_oxide,-0.11572406017798159
drug_losartan_potassium,-0.11570216283627345
lab_bicarbonate,-0.10792516617497609
drug_ciprofloxacin_hcl,-0.10779996380923253
drug_apixaban,-0.1046069543675033
drug_fluticasone-salmeterol_diskus_(250/50)_,-0.10269703883682516
race_WHITE,-0.10002470236066047
lab_platelet_count,-0.09718581493265824
drug_milk_of_magnesia,-0.09475206764286596
drug_metoprolol_tartrate,-0.08042925189084708
drug_torsemide,-0.08033850788787036
drug_omeprazole,-0.07726965986051411
drug_hydrochlorothiazide,-0.07024772517514306
procedure_4513,-0.07017126192580347
drug_metoprolol_succinate_xl,-0.06856548346025292
drug_lactated_ringers,-0.06791039303590135
admission_type_DIRECT OBSERVATION,-0.06493996766396688
drug_multivitamins,-0.06299417863396015
drug_tramadol_(ultram),-0.061716028069965026
drug_chloraseptic_throat_spray,-0.06170830776531253
drug_ibuprofen,-0.0613211173520077
drug_lisinopril,-0.06050567749227078
drug_enoxaparin_(prophylaxis),-0.055199595467837245
drug_valganciclovir,-0.05477263407251803
drug_metformin_(glucophage),-0.04937744864460761
drug_amoxicillin-clavulanic_acid,-0.0488103008588916
drug_influenza_virus_vaccine,-0.04802135640703438
drug_ramelteon,-0.04745142359695472
drug_potassium_chloride_replacement_(critical_care_and_oncology)_,-0.046735983553040136
drug_latanoprost_0.005%_ophth._soln.,-0.04645514141175837
lab_temperature,-0.046130654493193486
drug_tamsulosin,-0.045597794435507086
lab_oxygen_saturation,-0.045535194717088195
drug_diazepam,-0.04445274346762029
drug_acetaminophen,-0.044367198650920044
drug_prednisone,-0.040505835667905186
drug_sulfameth/trimethoprim_ss,-0.04019787602415164
lab_lymphocytes,-0.038011607740534296
drug_sevelamer_carbonate,-0.036841417446157446
drug_aluminum-magnesium_hydrox.-simethicone,-0.035281479548768126
lab_monos,-0.03403217291616338
drug_simvastatin,-0.033411589631925157
drug_citrate_dextrose_3%_(acd-a)_crrt,-0.03299597880337418
lab_myelocytes,-0.032068374627747344
procedure_0DJ08ZZ,-0.031767100786391125
lab_absolute_lymphocyte_count,-0.03166714673726543
drug_colchicine,-0.03161714144350986
drug_ticagrelor,-0.03050176857635287
lab_metamyelocytes,-0.028713134824974916
"lab_chloride,_whole_blood",-0.027877236568814932
drug_citalopram_hydrobromide,-0.02595763763811814
admission_location_EMERGENCY ROOM,-0.02431945103719558
drug_allopurinol,-0.022510864250526
drug_levofloxacin,-0.022502394942161552
drug_potassium_chloride_(powder),-0.02177025059526428
procedure_3995,-0.02171776143260778
drug_heparin_dwell_(1000_units/ml),-0.021388130544791474
admission_location_PROCEDURE SITE,-0.021217839524301254
drug_isosorbide_mononitrate_(extended_release),-0.02095085288447413
procedure_02H633Z,-0.020488095604411272
drug_zolpidem_tartrate,-0.019513162354206245
drug_diltiazem_extended-release,-0.01914257140761768
drug_ferrous_sulfate,-0.018920352332607318
drug_rosuvastatin_calcium,-0.017256973620883298
drug_sulfameth/trimethoprim_ds,-0.01633825028093012
lab_creatinine,-0.015223809104570397
drug_nadolol,-0.014091795139829142
"lab_calcium,_total",-0.013953154451573106
drug_ampicillin-sulbactam,-0.013651178961478902
lab_basophils,-0.013628808966669312
drug_nitroglycerin_sl,-0.013397044755240629
admission_location_PACU,-0.01333231016985976
drug_captopril,-0.013231706294138532
admission_type_EU OBSERVATION,-0.013056491461085286
drug_influenza_vaccine_quadrivalent,-0.012524053934447317
admission_type_ELECTIVE,-0.011529483454899066
procedure_5A1D70Z,-0.010796527221862778
