,0
admission_type_SURGICAL SAME DAY ADMISSION,-0.27123021148195664
procedure_5A1955Z,-0.2380568737702488
procedure_02HV33Z,-0.19443788915664725
procedure_966,-0.1921548091913503
admission_location_INTERNAL TRANSFER TO OR FROM PSYCH,-0.18817138425089217
procedure_3E0G76Z,-0.1665081438970607
drug_tacrolimus,-0.16642221105821972
drug_heparin,-0.15709038657251373
procedure_02H633Z,-0.15060728861573602
lab_platelet_count,-0.1493971660363178
drug_warfarin,-0.14617710783811041
drug_insulin,-0.11529852085338045
admission_type_ELECTIVE,-0.10958856317588445
lab_po2,-0.09725671956153353
drug_potassium_chl_20_meq_/_1000_ml_d5_1/2_ns,-0.09651791597385086
procedure_5A1D70Z,-0.09535105830583597
procedure_9915,-0.09465270531464658
procedure_009U3ZX,-0.09429920010511143
procedure_9672,-0.09285019859424297
procedure_3995,-0.0892560573450406
procedure_5A1221Z,-0.08866683475492357
"lab_iron_binding_capacity,_total",-0.08775670895273445
procedure_4513,-0.08572419611066805
drug_aluminum-magnesium_hydrox.-simethicone,-0.08219351125417876
drug_mupirocin_ointment_2%,-0.07891150107600109
procedure_3897,-0.07858883584318307
lab_bicarbonate,-0.07826363214370254
procedure_3615,-0.07287930883623751
procedure_3961,-0.07246809045707327
lab_immunoglobulin_g,-0.07015846365493676
drug_diphenhydramine,-0.07014757127326406
procedure_02100Z9,-0.07002026479090973
drug_ibuprofen,-0.06932416657701343
procedure_9925,-0.0690641913078282
lab_lymphocytes,-0.0681639045927727
drug_gastroview_(diatrizoate_meglumine_&_sodium),-0.06779275956984564
drug_tamsulosin,-0.0673679204697455
procedure_0DJ08ZZ,-0.06731213075913324
procedure_3324,-0.06612292700903312
procedure_8872,-0.06566331714893792
drug_cefazolin,-0.06401124187911852
drug_apixaban,-0.06133263451696602
procedure_3E04305,-0.06090551586665847
drug_acyclovir,-0.060768154845063344
drug_epinephrine,-0.06065533788329482
drug_metformin_(glucophage),-0.05762926879704547
drug_ketorolac,-0.05022083993129257
drug_carvedilol,-0.05007938195918034
race_BLACK,-0.05003964744993927
drug_diazepam,-0.04845663003615291
drug_amlodipine,-0.046780002140795515
"lab_potassium,_whole_blood",-0.04516342652662981
drug_tramadol,-0.043113304095272593
drug_allopurinol,-0.04275621582662903
lab_mchc,-0.04247229560880569
procedure_9904,-0.040982892256345584
drug_tacrolimus_suspension,-0.040335003899509836
procedure_3893,-0.03975666723686418
lab_cyclosporin,-0.038714023747774426
drug_calcitriol,-0.03858431341120196
drug_milk_of_magnesia,-0.038538401780373904
drug_gabapentin,-0.03837405121294788
drug_oxycodone-acetaminophen,-0.038288281064116164
lab_temperature,-0.03792117969901936
drug_metoprolol_tartrate,-0.03632984437166243
drug_baclofen,-0.03625580423286865
drug_duloxetine,-0.03609622507626319
lab_eosinophils,-0.03574576816917491
drug_heparin_flush_(1000_units/ml),-0.035617282046627716
drug_docusate_sodium,-0.03517589975210317
admission_location_PHYSICIAN REFERRAL,-0.03387371415567098
drug_valganciclovir,-0.03385493623958638
procedure_0331,-0.0337827732674732
lab_oxygen_saturation,-0.03043516020215451
"lab_calculated_bicarbonate,_whole_blood",-0.03033062383638404
"lab_amylase,_ascites",-0.027675314622000576
drug_fexofenadine,-0.027178530629837744
drug_calcium_carbonate,-0.025714145595283865
drug_artificial_tear_ointment,-0.02477095483584959
drug_ascorbic_acid,-0.022482110282951627
lab_basophils,-0.02191489913572349
drug_torsemide,-0.02145632660339665
drug_fluticasone_propionate_110mcg,-0.021348098029154272
lab_absolute_eosinophil_count,-0.018316125469914415
drug_heparin_sodium,-0.016648068679742084
