,0
vital_heart_rate_missing,-0.33529254587467905
lab_base_excess_missing,-0.30257643592528854
admission_type_SURGICAL SAME DAY ADMISSION,-0.2758779978346643
admission_location_INTERNAL TRANSFER TO OR FROM PSYCH,-0.2678532470778173
procedure_5A1955Z,-0.2528928129764833
procedure_02HV33Z,-0.20671384093190132
procedure_966,-0.2009760948073014
procedure_3E0G76Z,-0.18827850904434454
drug_tacrolimus,-0.1593231123085777
drug_warfarin,-0.1543577292001109
procedure_02H633Z,-0.15302551078770518
drug_heparin,-0.15231402778921166
procedure_9672,-0.1275477580769047
lab_platelet_count,-0.12468326848503061
drug_dibucaine,-0.1124306478329016
procedure_10D00Z1,-0.10734791309681523
procedure_5A1D70Z,-0.10401468641366801
procedure_009U3ZX,-0.10278137062170159
procedure_4513,-0.10140857952670278
admission_type_ELECTIVE,-0.10103276306564525
drug_insulin,-0.09806817632833205
procedure_9925,-0.09473446912035467
lab_lymphocytes,-0.09469226284706182
drug_potassium_chl_20_meq_/_1000_ml_d5_1/2_ns,-0.09464713463237395
lab_troponin_t_missing,-0.09249186628691322
drug_aluminum-magnesium_hydrox.-simethicone,-0.09111399893663463
procedure_5A1221Z,-0.08937096899104369
procedure_3995,-0.08752373052227734
procedure_3897,-0.086402954697574
procedure_9915,-0.08438448788602666
"lab_iron_binding_capacity,_total",-0.08131241875520956
lab_po2,-0.081307976102709
drug_mupirocin_ointment_2%,-0.08116718332296775
drug_ibuprofen,-0.08026447865212089
drug_diphenhydramine,-0.07985662058991788
lab_immunoglobulin_g,-0.07751558445415477
procedure_3961,-0.07287751211607246
procedure_0W9G3ZZ,-0.0725782533778189
lab_rbc_missing,-0.07147712673518901
drug_tamsulosin,-0.07093476278660536
procedure_8872,-0.06734914855124295
drug_cefazolin,-0.06640526417138809
procedure_3E04305,-0.06582530161990739
procedure_0DJ08ZZ,-0.06444088785115039
procedure_02100Z9,-0.06392839857367746
drug_gastroview_(diatrizoate_meglumine_&_sodium),-0.0631345155462345
drug_metformin_(glucophage),-0.06175273326115243
procedure_3615,-0.06167053646430537
procedure_3324,-0.061275320690291464
lab_mchc,-0.06037387763631908
lab_mesothelial_cell_missing,-0.05960603377652378
race_BLACK,-0.05902610962293363
drug_lactated_ringers,-0.058405023392450794
procedure_3893,-0.058346892440050355
drug_epinephrine,-0.05831107972372639
drug_apixaban,-0.058078680783621696
drug_carvedilol,-0.05699433057107644
drug_baclofen,-0.05647292737985688
drug_diazepam,-0.055458189775043625
drug_acyclovir,-0.05364900871220779
drug_tacrolimus_suspension,-0.05319562937906586
procedure_0331,-0.05281747188896367
drug_ketorolac,-0.05042163027804171
drug_dermoplast_spray,-0.05006814403107218
drug_glucose_gel,-0.05005973045716567
"lab_potassium,_whole_blood",-0.049928408258926804
lab_lymphs,-0.0499133485213093
drug_tramadol,-0.04982388755522136
procedure_5491,-0.048806656578953875
drug_oxycodone-acetaminophen,-0.04869584136708801
lab_eosinophils,-0.04863422293339708
drug_nicotine_patch,-0.048189971870209417
drug_allopurinol,-0.04781870960459179
drug_cyclobenzaprine,-0.044691920992426644
drug_metoprolol_tartrate,-0.04408055958845333
drug_calcitriol,-0.04367844188172017
"lab_glucose,_pleural",-0.04285443526944388
drug_amlodipine,-0.04099522396935715
procedure_0W9G3ZX,-0.04093973075170074
"lab_glucose,_ascites_missing",-0.04001478219057316
lab_cyclosporin,-0.03821858374538076
lab_gentamicin_missing,-0.03812980249145364
procedure_9904,-0.03811237234462507
"lab_calculated_bicarbonate,_whole_blood",-0.03808022656748149
"lab_cholesterol,_pleural_missing",-0.03735454327957938
drug_duloxetine,-0.03694687145716773
lab_temperature,-0.03664835247946595
drug_gabapentin,-0.0359782102000975
drug_heparin_flush_(1000_units/ml),-0.03483685933233591
drug_artificial_tear_ointment,-0.03439724937177706
drug_influenza_vaccine_quadrivalent,-0.03266956822525823
drug_artificial_tears_preserv._free,-0.030979862013053583
drug_fluticasone_propionate_nasal,-0.030633034303772955
drug_aspirin_ec,-0.030597190971601806
drug_fexofenadine,-0.030034577634640475
drug_enoxaparin_(prophylaxis),-0.029918894452147918
admission_location_PHYSICIAN REFERRAL,-0.0293445673670609
lab_absolute_lymphocyte_count,-0.028707399935930543
drug_cholestyramine,-0.028521432905818593
lab_basophils,-0.027142584577866564
drug_clopidogrel,-0.026685583034797396
drug_fluticasone_propionate_110mcg,-0.026615593021491708
lab_rbc,-0.026121170170084078
"lab_fibrinogen,_functional",-0.025963235381214426
drug_docusate_sodium,-0.025885129889541395
drug_valganciclovir,-0.025075661251627177
drug_milk_of_magnesia,-0.024519831148717957
"lab_amylase,_ascites",-0.024117844197886155
lab_alveolar-arterial_gradient_missing,-0.02399502115084069
drug_nifedipine_cr,-0.023314583827350088
drug_loperamide,-0.02267421914396615
drug_levothyroxine_sodium,-0.02245778277920804
drug_torsemide,-0.02223516615522147
drug_ascorbic_acid,-0.021876162192678742
drug_clindamycin,-0.020790552798698642
lab_mesothelial_cells_missing,-0.020589838236144506
lab_base_excess,-0.020310446403762554
lab_c4,-0.019348432352156514
admission_location_PACU,-0.01898589703829299
drug_simvastatin,-0.018977399169625715
drug_heparin_sodium,-0.01840255655427362
lab_absolute_eosinophil_count,-0.017742849688867832
lab_monos,-0.017689710685242943
lab_immunoglobulin_a,-0.01652808544894215
drug_calcium_carbonate,-0.01574154145117337
drug_cephalexin,-0.013984632520416781
drug_dextrose_10%_in_water_(d10w),-0.013629134377726124
drug_mycophenolate_mofetil,-0.0126881904342428
lab_gentamicin,-0.012451714542397185
drug_lidocaine_1%_(for_picc/midline_insertions),-0.012108746346865346
drug_ceftriaxone,-0.011911137949540148
"lab_fibrinogen,_functional_missing",-0.010175361098201021
drug_glucagon,-0.010067587100800192
lab_uric_acid_missing,-0.009661547147629
drug_haloperidol,-0.009634243689699123
drug_insulin_regular_human_(u-500),-0.00942621172434395
drug_fluticasone-salmeterol_diskus_(500/50)_,-0.008922736350071223
drug_azithromycin,-0.008154093481447324
lab_iron,-0.005785811734962421
drug_fluticasone-salmeterol_diskus_(250/50)_,-0.005095614912083067
