,0
drug_warfarin,-0.38942925519488747
drug_heparin,-0.3362383714260835
drug_docusate_sodium,-0.2736816009522725
admission_type_SURGICAL SAME DAY ADMISSION,-0.22742041497839366
vital_min_spo2,-0.22386703417210538
vital_min_heart_rate,-0.22040740502910214
drug_phosphorus,-0.1833792531784526
drug_amlodipine,-0.1614700309905689
procedure_5A1221Z,-0.1605578533610517
drug_magnesium_oxide,-0.14617432747153103
drug_apixaban,-0.1418129794692867
drug_potassium_chl_20_meq_/_1000_ml_d5_1/2_ns,-0.1356473160758623
drug_quetiapine_fumarate,-0.13264539499944514
lab_hematocrit,-0.1324904495168912
lab_rdw-sd,-0.1307661388292082
drug_diazepam,-0.11093012097788744
drug_losartan_potassium,-0.1069102485992154
drug_potassium_chloride_(powder),-0.10596274118825222
drug_influenza_virus_vaccine,-0.10357131160116813
drug_ciprofloxacin_hcl,-0.09988109520070791
drug_multivitamins,-0.09105502629275514
drug_torsemide,-0.08682583964802339
drug_simvastatin,-0.08385531945663603
drug_valganciclovir,-0.08134777650252814
admission_type_DIRECT OBSERVATION,-0.07925084021129329
los_hours,-0.07848693474030458
drug_ramelteon,-0.0770860463896905
procedure_4513,-0.07603205584128181
drug_chloraseptic_throat_spray,-0.07505807136991584
lab_tacrofk,-0.07409385012376338
race_WHITE,-0.07402950412437767
lab_specific_gravity,-0.07249455616186316
drug_lisinopril,-0.07165621971634907
drug_metoprolol_tartrate,-0.06980409546303168
drug_neostigmine,-0.06916021824809626
drug_metformin_(glucophage),-0.06877416341347328
procedure_0DJ08ZZ,-0.06761970091551393
drug_zolpidem_tartrate,-0.06726748607358132
lab_amylase,-0.06597665145520369
drug_fluticasone-salmeterol_diskus_(250/50)_,-0.06582049863282657
drug_ibuprofen,-0.06540702907862897
drug_enoxaparin_(prophylaxis),-0.06501560900618879
lab_vitamin_b12,-0.06396502373219953
lab_monocytes,-0.06298376672045723
admission_type_ELECTIVE,-0.05880813317393652
admission_type_EU OBSERVATION,-0.05722653834785799
drug_potassium_chl_40_meq_/_1000_ml_d5_1/2_ns,-0.056298360333418056
drug_hydrochlorothiazide,-0.05569580799896734
procedure_02100Z9,-0.05423544944484477
drug_milk_of_magnesia,-0.05369786193333535
drug_prednisone,-0.05329736037664289
drug_lactated_ringers,-0.05169498900645728
drug_pregabalin,-0.0486022728925033
drug_colchicine,-0.04707189547767714
drug_ticagrelor,-0.04692282302981641
drug_amoxicillin-clavulanic_acid,-0.042726792136330176
drug_diphenhydramine,-0.04198214388220165
drug_acetaminophen,-0.040599425953186365
drug_ferrous_sulfate,-0.03970673437199055
procedure_8856,-0.039284339373464025
lab_cov8mc,-0.0382146540067883
drug_gabapentin,-0.03798719898698337
drug_ascorbic_acid,-0.03765510448043646
procedure_3897,-0.03625911950488477
drug_tramadol_(ultram),-0.034612700203245805
drug_potassium_chloride_replacement_(critical_care_and_oncology)_,-0.03379718797408933
drug_atorvastatin,-0.0322809979769459
drug_latanoprost_0.005%_ophth._soln.,-0.0307026419492098
drug_rosuvastatin_calcium,-0.029098797436824347
procedure_02H633Z,-0.026100411367189796
lab_ceph-ic,-0.02438059968339472
drug_sulfameth/trimethoprim_ds,-0.02427998171776835
lab_immunoglobulin_m,-0.024018752935177152
drug_multivitamins_w/minerals,-0.0234443459176887
lab_oxygen,-0.02269779169275207
drug_ferric_gluconate,-0.02258685005221065
drug_citalopram_hydrobromide,-0.02238881730374483
lab_creatine_kinase_(ck),-0.021946120538132004
drug_carvedilol,-0.02189144394728608
lab_immunoglobulin_a,-0.021819300136847776
"lab_protein,_total",-0.021363318439838727
lab_o2_flow,-0.021168830871500136
drug_nitroglycerin,-0.020986193713906698
drug_oxycodone-acetaminophen,-0.020684423453100495
drug_nitroglycerin_sl,-0.019256900649852117
lab_%_hemoglobin_a1c,-0.018307428602581503
drug_diazepam_-_ciwa_protocol,-0.018054079982842836
vital_min_temperature_f,-0.01754755941663646
drug_cetirizine,-0.017511839729024467
procedure_3607,-0.017396792381196832
drug_gastroview_(diatrizoate_meglumine_&_sodium),-0.017107382858209022
drug_metoprolol_succinate_xl,-0.017084793585950962
lab_stx3,-0.015763816625557422
drug_captopril,-0.014742179970316606
drug_pneumococcal_23-valent_polysaccharide_vaccine,-0.014568419033277592
procedure_9925,-0.013898675414629476
drug_rivaroxaban,-0.013292400531261864
drug_magnesium_sulfate,-0.012439972197792682
drug_potassium_chloride,-0.012326485135968575
drug_fluticasone_propionate_nasal,-0.012234845910066437
drug_levofloxacin,-0.012193719366827439
drug_heparin_dwell_(1000_units/ml),-0.011651776914389442
drug_aluminum-magnesium_hydrox.-simethicone,-0.011546030972777378
drug_nadolol,-0.011151638061504772
drug_clonidine,-0.011101691547000369
lab_e_gene_endpt,-0.011006295371673646
lab_n2_gene_ct,-0.011006295371673646
lab_n2_gene_endpt,-0.011006295371673646
lab_e_gene_ct,-0.011006295371673646
drug_tamsulosin,-0.010735678061968772
drug_olanzapine,-0.010603298312109346
drug_isosorbide_mononitrate_(extended_release),-0.010335731385717226
lab_phenytoin,-0.01021198112847849
procedure_0331,-0.00969794335997163
lab_promyelocytes,-0.009101262216769792
lab_iron,-0.007792315505130627
drug_trazodone,-0.007332725159173373
procedure_9904,-0.007213999208127964
drug_brimonidine,-0.006888841731679675
drug_cyclobenzaprine,-0.006812783116303533
drug_creon_12,-0.006571302748065859
drug_potassium_chl_20_meq_/_1000_ml_ns,-0.006300109747011454
drug_phenytoin_sodium_extended,-0.00580118436994035
drug_diltiazem,-0.00564375763238763
drug_montelukast,-0.005361564216123964
lab_cov8ic,-0.005315904062634746
lab_hpe3,-0.005289507703208011
drug_acetaminophen_(liquid),-0.005285517217969836
drug_potassium_phosphate,-0.005109296073096849
lab_sedimentation_rate,-0.005102278307642988
drug_diltiazem_extended-release,-0.005026767297349138
lab_lipase,-0.004593940840279182
drug_tiotropium_bromide,-0.004568541565926191
drug_enoxaparin_sodium,-0.004317423286020979
admission_location_PACU,-0.0029370841791309986
drug_tuberculin_ppd,-0.0024571259792153955
lab_25-oh_vitamin_d,-0.0023733183407369913
drug_lidocaine_1%,-0.001810828643718507
lab_c-reactive_protein,-0.0013136189028199487
lab_ferritin,-0.0008686261880295487
drug_aspirin_ec,-0.00044685446641373175
drug_citrate_dextrose_3%_(acd-a)_crrt,-0.00033171450857795676
drug_sevelamer_carbonate,-3.7464600267499226e-05
drug_tramadol,-3.270820413210127e-05
drug_allopurinol,-2.9040230055556026e-05
drug_cefepime,-1.3586394935053983e-05
lab_thyroid_stimulating_hormone,-6.9347512288021484e-06
insurance_Private,-3.6371887429444863e-06
lab_basophils,-8.400091636384853e-07
lab_eosinophils,-8.400091636384853e-07
lab_neutrophils,-8.400091636384853e-07
vital_max_heart_rate,0.0
drug_meperidine,0.0
drug_meclizine,0.0
drug_glucose_gel,0.0
drug_methylnaltrexone,0.0
drug_mupirocin_nasal_ointment_2%,0.0
lab_absolute_neutrophil_count,0.0
vital_mean_temperature_f,0.0
drug_multivitamin_iv,0.0
drug_moviprep,0.0
drug_morphine_sulfate_ir,0.0
drug_montelukast_sodium,0.0
drug_erythromycin_0.5%_ophth_oint,0.0
drug_methadone_,0.0
drug_mirtazapine,0.0
drug_miconazole_powder_2%,0.0
drug_micafungin,0.0
drug_metronidazole_(flagyl),0.0
drug_escitalopram_oxalate,0.0
drug_ezetimibe,0.0
drug_metolazone,0.0
drug_famotidine,0.0
drug_metoclopramide,0.0
drug_midazolam,0.0
drug_fentanyl_citrate,0.0
drug_levetiracetam,0.0
drug_fexofenadine,0.0
drug_ipratropium_bromide_mdi,0.0
drug_insulin_regular_human_(u-500),0.0
drug_insulin_(regular)_for_hyperkalemia,0.0
drug_insulin,0.0
drug_folic_acid,0.0
vital_max_spo2,0.0
drug_influenza_vaccine_quadrivalent,0.0
drug_influenza_vaccine_high-dose_quadrivalent,0.0
drug_isosorbide_dinitrate,0.0
drug_hydroxyzine,0.0
drug_glucagon,0.0
drug_hydromorphone,0.0
drug_hydrocodone-acetaminophen,0.0
drug_hydralazine,0.0
drug_heparin_flush_(1000_units/ml),0.0
drug_haloperidol,0.0
drug_guaifenesin-dextromethorphan,0.0
drug_guaifenesin,0.0
drug_hydromorphone_(dilaudid),0.0
drug_magnesium_citrate,0.0
drug_ketorolac,0.0
drug_lactulose,0.0
vital_max_respiratory_rate,0.0
drug_loratadine,0.0
drug_loperamide,0.0
drug_finasteride,0.0
drug_lidocaine_1%_(for_picc/midline_insertions),0.0
drug_fish_oil_(omega_3),0.0
drug_fleet_enema,0.0
drug_levothyroxine_sodium,0.0
drug_labetalol,0.0
drug_glycopyrrolate,0.0
drug_fluconazole,0.0
drug_fluoxetine,0.0
drug_fluticasone-salmeterol_diskus_(100/50),0.0
drug_fluticasone-salmeterol_diskus_(500/50)_,0.0
drug_lamotrigine_patch_for_allergy_testing,0.0
drug_fluticasone_propionate_110mcg,0.0
drug_lamotrigine,0.0
drug_lactulose_enema,0.0
drug_fleet_enema_(mineral_oil),0.0
drug_mupirocin_ointment_2%,0.0
drug_phenobarbital_alcohol_withdrawal_dose_taper_(days_2-7),0.0
drug_naloxone,0.0
procedure_3E04305,0.0
procedure_3995,0.0
procedure_3961,0.0
procedure_3950,0.0
procedure_3899,0.0
procedure_3891,0.0
procedure_3722,0.0
procedure_3615,0.0
procedure_3324,0.0
procedure_10E0XZZ,0.0
procedure_10D00Z1,0.0
procedure_0W9G3ZZ,0.0
meanbp_diastolic,0.0
procedure_0W9G3ZX,0.0
procedure_0DJD8ZZ,0.0
procedure_02HV33Z,0.0
procedure_0066,0.0
procedure_0045,0.0
maxbp_systolic,0.0
drug_vitamin_d3_(cholecalciferol),0.0
drug_vitamin_d,0.0
drug_vitamin_b_complex,0.0
drug_venlafaxin,0.0
drug_valsartan,0.0
drug_valproate_sodium,0.0
maxbp_diastolic,0.0
procedure_0KQM0ZZ,0.0
drug_ursodiol,0.0
procedure_4516,0.0
meanbp_systolic,0.0
race_NATIVE AMERICAN/ALASKA NATIVE,0.0
race_HISPANIC/LATINO,0.0
race_BLACK,0.0
insurance_No charge,0.0
insurance_Medicare,0.0
admission_location_WALK-IN/SELF REFERRAL,0.0
admission_location_PROCEDURE SITE,0.0
admission_location_PHYSICIAN REFERRAL,0.0
admission_location_INTERNAL TRANSFER TO OR FROM PSYCH,0.0
admission_location_EMERGENCY ROOM,0.0
gender_female,0.0
admission_type_DIRECT EMER.,0.0
procedure_5185,0.0
procedure_B2111ZZ,0.0
procedure_9672,0.0
procedure_966,0.0
procedure_8952,0.0
procedure_8938,0.0
procedure_8872,0.0
procedure_8848,0.0
procedure_8744,0.0
procedure_7569,0.0
procedure_741,0.0
procedure_734,0.0
procedure_5A1D70Z,0.0
procedure_5A1945Z,0.0
procedure_9915,0.0
drug_mycophenolate_mofetil,0.0
minbp_systolic,0.0
drug_thiamine,0.0
vital_mean_respiratory_rate,0.0
drug_polyethylene_glycol,0.0
vital_mean_spo2,0.0
drug_phenytoin_patch_for_allergy_testing,0.0
drug_phenobarbital_-_icu_alcohol_withdrawal_(initial_load_/_rescue_dose),0.0
drug_pantoprazole,0.0
drug_oxytocin,0.0
drug_oxymetazoline,0.0
drug_oxycodone_liquid,0.0
drug_oxycodone_(immediate_release)_,0.0
drug_oxycodone_(immediate_release),0.0
drug_oxycodone-acetaminophen_elixir,0.0
drug_potassium_chl_20_meq_/_1000_ml_d5ns,0.0
drug_oxybutynin,0.0
drug_ondansetron_odt,0.0
drug_ondansetron,0.0
drug_omeprazole,0.0
drug_ns_(mini_bag_plus),0.0
drug_ns,0.0
drug_norepinephrine,0.0
drug_nifedipine_cr,0.0
drug_nicotine_patch,0.0
drug_nicardipine_iv,0.0
drug_neutra-phos,0.0
drug_nephrocaps,0.0
drug_neomycin-polymyxin-bacitracin,0.0
drug_oseltamivir,0.0
drug_timolol_maleate_0.5%,0.0
drug_potassium_chl_40_meq_/_1000_ml_ns,0.0
drug_pravastatin,0.0
drug_tetanus-diphtox-acellular_pertuss_(adacel),0.0
drug_tacrolimus_suspension,0.0
drug_tacrolimus,0.0
drug_syringe,0.0
drug_sulfameth/trimethoprim_ss,0.0
drug_spironolactone,0.0
drug_sodium_phosphate,0.0
drug_sodium_chloride_nasal,0.0
drug_sodium_chloride_3%_inhalation_soln,0.0
drug_sodium_chloride,0.0
minbp_diastolic,0.0
drug_simethicone,0.0
drug_potassium_citrate,0.0
drug_sertraline,0.0
drug_sarna_lotion,0.0
drug_risperidone,0.0
drug_rifaximin,0.0
drug_readi-cat_2_(barium_sulfate_2%_suspension),0.0
drug_ranitidine,0.0
result_value_x,0.0
result_value_y,0.0
drug_psyllium_wafer,0.0
drug_propranolol,0.0
drug_propofol,0.0
drug_prenatal_vitamins,0.0
drug_prednisolone_acetate_1%_ophth._susp.,0.0
drug_senna,0.0
drug_emtricitabine-tenofovir_(truvada),0.0
lab_alanine_aminotransferase_(alt),0.0
drug_doxycycline_hyclate,0.0
lab_protein/creatinine_ratio,0.0
lab_protein,0.0
"lab_potassium,_whole_blood",0.0
"lab_potassium,_urine",0.0
lab_potassium,0.0
lab_polys,0.0
lab_platelet_count,0.0
"lab_phosphate,_urine",0.0
lab_ph,0.0
lab_peep,0.0
lab_parathyroid_hormone,0.0
lab_other_cells,0.0
lab_rapamycin,0.0
"lab_osmolality,_urine",0.0
lab_monos,0.0
lab_methotrexate,0.0
lab_metamyelocytes,0.0
lab_mcv,0.0
lab_mchc,0.0
lab_mch,0.0
lab_magnesium,0.0
lab_macrophage,0.0
lab_lymphs,0.0
lab_lymphocytes,0.0
lab_lithium,0.0
lab_length_of_urine_collection,0.0
lab_myelocytes,0.0
lab_rbc,0.0
"lab_rbc,_ascites",0.0
"lab_rbc,_csf",0.0
lab_transitional_epithelial_cells,0.0
lab_transferrin,0.0
"lab_total_protein,_urine",0.0
"lab_total_protein,_pleural",0.0
"lab_total_protein,_csf",0.0
"lab_total_protein,_ascites",0.0
"lab_total_nucleated_cells,_pleural",0.0
"lab_total_nucleated_cells,_csf",0.0
"lab_total_nucleated_cells,_ascites",0.0
lab_tidal_volume,0.0
"lab_thyroxine_(t4),_free",0.0
lab_thyroxine_(t4),0.0
lab_temperature,0.0
lab_absolute_eosinophil_count,0.0
lab_stx6,0.0
lab_stx5,0.0
lab_stx4,0.0
"lab_sodium,_whole_blood",0.0
"lab_sodium,_urine",0.0
lab_sodium,0.0
"lab_reticulocyte_count,_automated",0.0
"lab_reticulocyte_count,_absolute",0.0
lab_red_blood_cells,0.0
lab_absolute_lymphocyte_count,0.0
lab_rdw,0.0
"lab_rbc,_pleural",0.0
drug_duloxetine,0.0
lab_lactate_dehydrogenase_(ld),0.0
lab_triglycerides,0.0
"lab_lactate_dehydrogenase,_pleural",0.0
lab_l,0.0
lab_cortisol,0.0
lab_cholesterol_ratio_(total/hdl),0.0
"lab_cholesterol,_total",0.0
"lab_cholesterol,_ldl,_calculated",0.0
"lab_cholesterol,_hdl",0.0
"lab_chloride,_whole_blood",0.0
"lab_chloride,_urine",0.0
lab_chloride,0.0
lab_carcinoembyronic_antigen_(cea),0.0
"lab_calculated_bicarbonate,_whole_blood",0.0
"lab_calcium,_total",0.0
lab_c4,0.0
"lab_creatine_kinase,_mb_isoenzyme",0.0
lab_c3,0.0
"lab_bilirubin,_indirect",0.0
lab_bicarbonate,0.0
lab_bands,0.0
lab_atypical_lymphocytes,0.0
lab_asparate_aminotransferase_(ast),0.0
lab_arch-1,0.0
lab_anion_gap,0.0
"lab_amylase,_ascites",0.0
lab_alpha-fetoprotein,0.0
